Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
2650 ST CLAIR AVE W,43.6668643,-79.4956514,Demolition,2016-08-08,2017-09-21,Proposal for demoliton of the one-storey rear portion of the building at 2650 St. Clair Avenue West. The remaining two story front portion of the building will remain.,Vacant Manufacturing Building
106 D'ARCY ST,43.65445289,-79.39631989,Demolition,2016-08-09,2017-05-02,demoltion of existing detached dwelling.  A replacement permit is not being sought.,Dwelling
8 NEWCASTLE ST,43.6186093,-79.4944097,Demolition,2016-08-18,2017-03-14,"Proposal to remove two 1-storey light industrial buildings, including foundations. Backfill foundations to make site safe.",Light Industrial
1185 MARTIN GROVE RD,43.7074424,-79.5778733,Demolition,2016-08-23,2017-10-16,Demo 1 (BLDG G.) of 3 existing vacant buildings  Some existing buildings to remain. New storage building already erected.,Three Private Industrial Storage
1185 MARTIN GROVE RD,43.7074424,-79.5778733,Demolition,2016-08-23,2017-08-23,Demo 1 (BLDG K) of 3 existing vacant buildings  Some existing buildings to remain. New storage building already erected,Industrial Storage
11 ORDNANCE ST,43.6389084,-79.409368,Demolition,2016-08-26,2017-03-17,"Proposal to demolish existing multiple use building - includes 25 Ordnance, 43 Strachan, and 35 Strachan.",Multuple Use
161 PALMERSTON AVE,43.6523413,-79.408569,Demolition,2016-09-12,2017-11-14,"Proposal to demolish existing 3 storey semi-detached two dwelling units. (Note:  See active BLD permit for new 2nd suite, underpinning, and separate BLD for new 3 unit dwelling).",Two Dwelling Units
299 CAMPBELL AVE,43.6598504,-79.4477296,Demolition,2016-09-15,2017-10-03,Proposal to demolish existing 1 storey industrial building.,Industrial
187 CHURCH ST,43.654982,-79.376382,Demolition,2016-09-15,2017-04-13,Proposal to demolish existing 3 storey commercial building.  187-189 Church St.,Commercial
428 SUMMERHILL AVE,43.68606108,-79.37649813,Demolition,2016-09-19,2017-12-08,"demolish existing commercial residential mixed use building, proposed parking lot and outdoor pavilion",Commercial Residential
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-26,2017-08-15,Demolition of 8 townhouse units Block A - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-26,2017-08-15,Demolition of 9 townhouse units Block B - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-26,2017-08-15,Demolition of 11 townhouse units Block C - TCHC,Townhouses
823 WILSON AVE,43.73150915,-79.46230938,Demolition,2016-09-26,2017-02-24,TO DEMOLISH AN EXISTING GARAGE IN REAR TO ESTABLISH A SURFACE PARKING LOT FOR 23 VEHICLES.,Apartment
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-27,2017-08-15,Demolition of 13 townhouse units Block D - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-27,2017-08-15,Demolition of 12 townhouse units Block E - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-27,2017-08-15,Demolition of 13 townhouse units Block f - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-27,2017-08-15,Demolition of 14 townhouse units Block G - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-27,2017-08-15,Demolition of 15 townhouse units Block H - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-27,2017-08-15,Demolition of 10 townhouse units Block J - TCHC,Townhouses
1 ADRA VILLAWAY,43.7756574,-79.364994,Demolition,2016-09-27,2017-08-15,Demolition of 18 townhouse units Block K - TCHC,Townhouses
185 MELROSE AVE,43.73102254,-79.41276003,Demolition,2016-10-25,2017-05-29,Demolish existing semi,Semi
19 FARRELL AVE,43.76729367,-79.4385534,Demolition,2016-11-17,2017-08-08,demolish existing house,House
720 MILITARY TRL,43.7907484,-79.2004853,Demolition,2016-11-23,2017-03-28,Demolition of a hydro sub-station,Sub-Station
5239-5243 DUNDAS ST W,43.73374855,-79.44249872,Demolition,2016-12-23,2017-11-30,Demo 2 storey commercial building and construct mixed use retail and apartment building,Vacant Commercial Building
5247-5249 DUNDAS ST W,43.63851218,-79.5374883,Demolition,2016-12-23,2017-11-30,Demo 2 storey commercial building,Commerical
591 SHEPPARD AVE E,43.7674729,-79.384,Demolition,2016-12-23,2017-02-01,REMOVAL/DEMOLITION OF SALES TRAILER ERECTED PER PERMIT 15 123694 TPS 00 TS,Temporary Sales Trailer
177 ALEXANDRA BLVD,43.71535433,-79.40954433,Demolition,2016-12-27,2017-03-09,demolish existing house,House
3260 DUNDAS ST W,43.6656858,-79.4787548,Demolition,2016-12-28,2017-12-05,Proposal to demolish the existing 3 storey mixed use building.,Multi Use
6199 STEELES AVE W,43.7642274,-79.5744019,Demolition,2017-01-06,2017-07-26,Demolish existing gas bar kiosk & canopy,Gas Station
13 BUTTERWORTH AVE,43.69649156,-79.27300066,Demolition,2017-01-11,2017-07-26,DEMOLISH EXISTING HOUSE,House
29 NOTLEY PL,43.69998028,-79.30868935,Demolition,2017-01-12,2017-07-26,Demolition of single family dewlling house.,House
245 GLEN PARK AVE,43.70956128,-79.44514303,Demolition,2017-01-17,2017-07-26,demolish existing house,House
2 BIGGIN CRT,43.729047,-79.30492774,Demolition,2017-01-20,2017-10-10,Demolition of existing 1 storey masonry structure (3 car garage) at north west corner of parking lot.,Apartment Building
2316 QUEEN ST E,43.67364547,-79.28335203,Demolition,2017-03-02,2017-06-28,Demolition permit for extensive interior alteration to remove 3 residential dwelling units from the building.  Ref 17-,Mixed-Use
1771 ST CLAIR AVE W,43.6738387,-79.4609875,Demolition,2017-03-06,2017-09-25,Proposal to demolish existing commercial building.,Commercial
367 OSLER ST,43.6734437,-79.46087873,Demolition,2017-03-06,2017-09-26,Proposal to demolish existing dwelling and ancillery garage. Related to demolition permit number 17-125007,Residential
850 KIPLING AVE,43.6344083,-79.5324709,Demolition,2017-04-06,2017-06-20,Remove Civil Lunch Shop leaving concrete foundation,Vacant Storage Office Lunch Room Building
368 JANE ST,43.6572734,-79.4879066,Demolition,2017-04-18,2017-07-12,Demolish 1 storey vacant Auto shop.,Auto Repair Shop
922 MILLWOOD RD,43.7031492,-79.3629902,Demolition,2017-05-10,2017-12-15,Demolish existing 1 storey Part 9 accessory building at rear of property.,Accessory Building
250 GAINSBOROUGH RD,43.67757951,-79.31935101,Demolition,2017-06-05,2017-12-05,Proposed demolition of portable classrooms only adjacent to existing elementary school.,Elementry School
1288 WESTON RD,43.6890317,-79.4957219,Demolition,2017-06-09,2017-11-30,Demolish a detached structure.,Mixed Use Building
68 DAISY AVE,43.5973476,-79.5290253,Demolition,2017-06-26,2017-10-13,Proposal to demolish one-storey west portion of the building at 68 Daisy Avenue. The remaining portion of the building will continue to operate as a daycare facility.,Gymnasium (Part Of A Daycare Facility)
50 CELESTINE DR,43.68924465,-79.56129482,Demolition,2017-06-28,2017-08-16,Proposal to remove/demolish portable classroom from site.,Portable Classroom
41 KIPPENDAVIE AVE,43.6668923,-79.30279407,Demolition,2017-06-29,2017-10-23,Proposal to demolish existing sfd and construct a new 3 storey sfd-detached with integral garage. See also 17-190131NH.,Fsd-Detached
588 MOUNT PLEASANT RD,43.7034684,-79.3883498,Demolition,2017-07-10,2017-11-29,Demolition approval for removal of last dwelling unit as required TMC 363-12 C.  A demolition permit (DM) for demolition approval is required to be issued prior to any work commencing in connection with construction authorized by the issuance of related Building Permit 17-103459-01.,Mixed Use Res With Non Res
18 TINDER CRES,43.72750322,-79.30914802,Demolition,2017-08-15,2017-12-07,Demolish existing one storey 20 car parking garage (363m2),Parking Garage
41 DOVERCOURT RD,43.6415588,-79.4214924,Demolition,2017-10-02,2017-12-18,Proposal for a demolition of an existing temporary sales presentation centre  .,Sales Cebtre
108 YONGE BLVD,43.73687651,-79.41049513,Demolition,1986-05-28,2017-11-07,DEMOLISH A GARAGE,
103 STAFFORD RD,43.77098186,-79.43876573,Demolition,1994-05-17,2017-12-21,1300 SQ FT,
58 BROOKMOUNT RD,43.67083125,-79.30924905,Demolition,2000-07-26,2018-08-29,"DEMOLISH GARAGE AND MAINTAIN PARKING SPACE AT REAR, 2.6M  WIDE X 5.9M LENGTH                                              card printed.",
131 SPRINGDALE BLVD,43.68695636,-79.32662908,Demolition,2002-03-28,2018-09-04,demolish garage,
92 LAUREL AVE,43.64318299,-79.55387302,Demolition,2002-04-05,2018-02-27,To demolish existing single family dwelling and all accessory structures.,
352 SAMMON AVE,43.68708688,-79.33435075,Demolition,2003-05-01,2018-09-04,DEMOLISH ATTACHED GARAGE,
354 SAMMON AVE,43.68710106,-79.33428698,Demolition,2003-05-01,2018-09-04,DEMOLISH ATTACHED GARAGE,
46 ST HUBERT AVE,43.6921555,-79.33896836,Demolition,2004-04-26,2018-09-04,Demolish detached garage at rear. (maintain parking space 2.4 m wide and 16.5 sq.m. in area),
83 HARDING AVE,43.70035416,-79.49885815,Demolition,2004-05-21,2018-07-04,"Demolition of Single Family Dwelling & all accessory structures
",
30-38 COMMERCIAL RD,43.7094887,-79.3587807,Demolition,2004-08-25,2018-08-15,demolish 1 storey building ( this applications covers buildings known as 36 & 38 Commercial Rd. conv. addresses),
18 FOREST RIDGE DR,43.7060014,-79.4284486,Demolition,2005-04-01,2018-07-04,DEMOLISH   HOUSE,
40 FISKEN AVE,43.6653953,-79.4807073,Demolition,2007-08-16,2018-04-16,To demolish free-standing building at this address which has been used for office purposes only in conjunction with Runnymede Chronic Care Hospital (at 625 Runnymede Road),Office Building
315 LINSMORE CRES,43.69478856,-79.33523013,Demolition,2007-08-21,2018-07-09,demolish bungalow. See bld # 07254933,Bungalow
29 ST ANDREWS GDNS,43.68549662,-79.37549514,Demolition,2007-10-29,2018-07-09,Permit for demolition of existing SFD detached 2.5 storey house,2.5 Storey
2010 KIPLING AVE,43.7114842,-79.5667856,Demolition,2008-05-26,2018-10-26,Demolish *Wallys Restaurant* ,Restaurant
2498 GERRARD ST E,43.6875864,-79.2839571,Demolition,2008-10-10,2018-03-08,1-storey building,Gas Station
394 SYMINGTON AVE,43.6676887,-79.4522137,Demolition,2008-10-29,2018-06-29,Demolish existing two storey brick building  & all accessory buildings,Industrial
169 JONES AVE,43.66705858,-79.33446208,Demolition,2008-11-14,2018-09-24,"Proposal to demolish 3 unsafe, non-residential buildings previously used as storage buildings (180.7m2), and use property as parking area for place of worship located on 175 Jones Ave.
MRDD FEES OWING - $5125.00",Non-Residential Buildings
100 QUEEN ST W,43.6536032,-79.38400547,Demolition,2010-02-24,2018-11-12,"Proposal to demolish existing Concession/Skate building at Nathan Phillips Square.
Building currently contains elevators which give access to the underground parking under the Square.
Also see open related Site Plan Approval 10-111639 STE, and PPR file 10-115121.",Concession/Skate Building
1071 KING ST W,43.6408452,-79.4172423,Demolition,2010-10-14,2018-10-15,Proposal to demolish existing three storey office building (Business school) and maintain vacant land  in accorance with Toronto Municipal Code Chapter 629-24  - (vacant land only - not to be used for any other  purpose),Office
0 STAINES RD,43.8261753,-79.2206994,Demolition,2011-01-14,2018-02-20,Demolish Slab On Grade Sales Office,Office
20 WALLASEY AVE,43.7197014,-79.53579611,Demolition,2011-06-01,2018-02-01,Demolition of three (3) portable classrooms.,Elementary School
50 BRAECREST AVE,43.69548939,-79.53194182,Demolition,2012-01-06,2018-07-10,Demolish existing bungalow,Bungalow
2 HOLIDAY DR,43.6510771,-79.56730632,Demolition,2012-01-12,2018-01-12,"Proposal to demolish existing hotel buildings with accessory structures (one 6 storey, one 2 storey and one 1 storey building).",Hotel
2183 LAKE SHORE BLVD W,43.62341982,-79.48074778,Demolition,2012-06-26,2018-06-04,Demolition of Beach Motel,Vacant Motel
2388-2390 LAKE SHORE BLVD W,43.61540165,-79.48860065,Demolition,2012-07-26,2018-04-12,Proposal to demolish existing 2 storey commercial building.,Retail
2156 DANFORTH AVE,43.6862803,-79.3107403,Demolition,2013-02-12,2018-08-28,"Proposal to demolish existing building, refer to 12-294669 and 12-285360.",Auto Repair Garage
444 YONGE ST,43.6609253,-79.383211,Demolition,2013-05-08,2018-03-02,"Proposal to demolish existing fountain/ice rink and change rooms/storage building in existing city park ""Barbara Ann Scott Parkette"" Convienience Address is 420 Yonge St.",Barabara Ann Scott Parkette
899 VICTORIA PARK AVE,43.7006931,-79.2922679,Demolition,2013-05-17,2018-07-13,demolish existing house,House
42-46 OVERLEA BLVD,43.70684074,-79.34725661,Demolition,2013-07-05,2018-05-31,"Demolition of Industrial Building the Coca Cola plant at 46 Overlea Blvd 17,652.00 m2.",Warehouse
280 MANSE RD,43.7642991,-79.1736259,Demolition,2013-09-03,2018-09-11,demolish school,School
36 DONALDA CRES,43.78727955,-79.28201177,Demolition,2013-12-13,2018-07-30,demolish existing bungalow,House
170 WESTWOOD AVE,43.68639056,-79.3495618,Demolition,2014-01-23,2018-02-21,Proposal to demolish existing building place of worship and construct 10 new residential dwelling units (8 semi-detached and 2 detached homes) on existing lot.,Other
1780 LAWRENCE AVE W,43.7037522,-79.5000016,Demolition,2014-02-19,2018-04-09,Proposal to demolish existing two storey Hardington Public elementary school.,Elementary School
24 WEST HILL DR,43.77280531,-79.18127769,Demolition,2014-03-14,2018-07-30,demolish existing house,House
43 SANDOWN AVE,43.71051283,-79.2515499,Demolition,2014-05-01,2018-08-29,demolish existing bunglaow,House
1268 DANFORTH AVE,43.68200089,-79.33062576,Demolition,2014-05-02,2018-02-13,Proposal to remove one unit on the second floor of existing mixed-use building. The proposed use of the 2nd floor to be office space. - in relation to permit 13-278500 BLD,Mixed Use Res W Non Res
332 MONTROSE AVE,43.6586317,-79.4193357,Demolition,2014-05-12,2018-01-23,"Demolish existing garage at rear for existing 3 unit dwellings as per related permit #384977.
(Rowhouse with 2 secondary suites/Converted House)
",Rowhouse With 2 Secondary Suites
78 PITT AVE,43.70399938,-79.29292013,Demolition,2014-06-02,2018-07-30,demolish existing bunglaow ,House
75 FALLINGBROOK DR,43.6795451,-79.2768249,Demolition,2014-07-11,2018-03-07,DEMOLISH EXISTING 2 STOREY HOUSE,House
407 HURON ST,43.66649005,-79.4009038,Demolition,2014-10-03,2018-11-27,"To demolish the existing two-rear portion which includes dormitory of the Kwong Centre for Mental Health and Wellness
",Dormetory
733 BIRCHMOUNT RD,43.7244466,-79.27543956,Demolition,2014-11-05,2018-10-24,Demolish existing one storey Place of Worship for new Place of Worship ,Place Of Worship
1455 DUFFERIN ST,43.67178466,-79.44027424,Demolition,2014-11-13,2018-04-27,To demolish 2-storey existing concrete block automotive repair shop and an abutted 1-storey metal clad building (refer to 14-223934 ZR).,Commercial - Abandoned Automotive Repair Shop
62 CHARLES ST E,43.669295,-79.383447,Demolition,2014-11-28,2018-01-16,To demolish the rear portion of  the existing one-storey multi-use heritage building.  The remained of the existing multi-use building will be retained.,Multi-Use Building
1 LEILA LANE,43.7232594,-79.4456525,Demolition,2014-11-29,2018-06-21,"Proposed demolition of existing two storey Toronto Community Housing Corporation apartment complex. (2,025m2) for Phase 1 of new Lawrence Heights Revitalization Development.",Toronto Community Housing
9 MEGAN AVE,43.77241471,-79.17065293,Demolition,2014-12-18,2018-07-31,demolish existing house,House
10 PARK LAWN RD,43.6229241,-79.4815074,Demolition,2015-01-16,2018-04-25,Permit to demolish existing Office building.  Related to permit # 13-173674.,Office
147 ELLENDALE DR,43.7560294,-79.2799522,Demolition,2015-01-29,2018-11-12,demolish existing bungalow ,House
515 HILLSDALE AVE E,43.70636885,-79.38253314,Demolition,2015-04-09,2018-07-31,Demolish existing house,House
31 NEILSON DR,43.62953139,-79.56316107,Demolition,2015-05-25,2018-08-01,Demolition of existing dwelling and accessory building to facilitate the constrcution of a new dwelling. ,Detached Dwelling 
2229 KINGSTON RD,43.70427654,-79.2522254,Demolition,2015-06-02,2018-12-05,Demolition of exisitng 2 storey mixed use commercial building in relation to construction of a new residential condominium building.,Mixed Used
5 AMBER CRES,43.71964185,-79.48318095,Demolition,2015-06-26,2018-08-01,demolish existing house,House
304 BETTY ANN DR,43.76531164,-79.43537262,Demolition,2015-07-23,2018-11-01,demolish existing house,House
107 BROWNVILLE AVE,43.68612013,-79.48572503,Demolition,2015-08-05,2018-08-01,Demolish existing dwelling on the lands in order that a new 2 storey detached dwelling can be constructed on the lands,Detached Dwelling 
21 NORCAP AVE,43.7968277,-79.2955304,Demolition,2015-08-25,2018-08-01,demolish existing 1 storey SFD and construct a new 2 storey SFD-detached dwelling with unfinished basement,House
3312 KINGSTON RD,43.7342857,-79.2222566,Demolition,2015-09-03,2018-08-02,DEMOLISH REPAIR GARAGE,Repair Garage
3314 KINGSTON RD,43.734323,-79.222217,Demolition,2015-09-03,2018-08-02,DEMOLISH REPAIR GARAGE,Repair Garage
65 FISHLEIGH DR,43.70117032,-79.24617748,Demolition,2015-09-03,2018-08-01,DEMOLISH EXISTING HOUSE,House
112 PARLIAMENT ST,43.65377223,-79.36380923,Demolition,2015-10-13,2018-05-04,Proposal to demolish 2 storey office building.,Office
114 PARLIAMENT ST,43.65382885,-79.36383385,Demolition,2015-10-13,2018-05-04,Proposal to demolish 2 storey office building.,Office
116 PARLIAMENT ST,43.65388546,-79.36385846,Demolition,2015-10-13,2018-05-04,Proposal to demolish 2 storey office building.,Office
122 PARLIAMENT ST,43.65405531,-79.36393231,Demolition,2015-10-13,2018-05-04,Proposal to demolish 2 storey office building.,Office
93 GALLOWAY RD,43.7570043,-79.1923679,Demolition,2015-11-03,2018-02-15,demolish existing house,House
124 PARLIAMENT ST,43.65411192,-79.36395692,Demolition,2016-01-08,2018-05-04,Proposal to demolish 2 storey office building.,Office
900 ST CLAIR AVE W,43.6801811,-79.4335207,Demolition,2016-02-05,2018-01-26,To demolish an existing 1 story Retail Bulding. (1114 M2).,Retail Building
1401 O'CONNOR DR,43.7124965,-79.3071673,Demolition,2016-02-08,2018-06-22,Proposal to demolish existing 1 1/2 storey commercial building.  See 12 128115 STE for future mixed use condo.,Commercial
2388 JANE ST,43.7312085,-79.51540863,Demolition,2016-02-17,2018-03-21,Proposal to demolish 280 sq.m storage building.,Storage Building For Golf Course Equipment
37 ELMVIEW DR,43.68556294,-79.2793277,Demolition,2016-04-25,2018-08-02,demolish existing house,House
27 TOBRUK CRES,43.79053527,-79.41359361,Demolition,2016-05-12,2018-09-14,demolish existing house,House
233 KENNEDY RD,43.70653486,-79.25719795,Demolition,2016-05-19,2018-04-06,demolish existing house,House
875 QUEEN ST E,43.660193,-79.3433566,Demolition,2016-06-30,2018-09-27,Demolition of all structures on site including Place of worship/womens shelter and pharmacy.,Multiple Unit Non Res
63 BECKETT AVE,43.71529744,-79.5022823,Demolition,2016-06-30,2018-06-04,demolish existing house,House
1686 AVENUE RD,43.72727619,-79.41782158,Demolition,2016-07-05,2018-10-24,Demolish existing two storey residential rental building including all above and below grade structures for a new 7-storey mixed-use building (14-266073),Apartment
35 DANFORTH RD,43.6947306,-79.2762059,Demolition,2016-07-05,2018-06-13,To demolish existing building.,Restaurant/Banquet Hall
65 ALNESS ST,43.77312831,-79.47269257,Demolition,2016-07-14,2018-05-25,Demolish existing one storey warehouse (1400m2),Warehouse
283 ADELAIDE ST W,43.6477267,-79.3899119,Demolition,2016-07-19,2018-04-13,demolition of sales office,Sales Office
1951 YONGE ST,43.699221,-79.396706,Demolition,2016-07-21,2018-06-25,Proposal to demolish the existing 1 storey retail store (LCBO).  No new building proposed at this time.  ,Retail Store
77 GLEN RUSH BLVD,43.7176996,-79.42520705,Demolition,2016-08-08,2018-08-15,To demolish an existing two storey private school (elementary).,Elementary School
897 QUEEN ST E,43.66050165,-79.34195468,Demolition,2016-08-12,2018-09-27,Applicant proposed demolition of a 1 storey multi unit non residential building.,Mix Use 
989 COLLEGE ST,43.6531224,-79.4279808,Demolition,2016-08-12,2018-12-11,Proposal to demolish existing 1 storey restaurant building.,Restaurant
24 FLERIMAC RD,43.77377466,-79.16962589,Demolition,2016-09-16,2018-07-27,demolish existing house,House
2433 EGLINTON AVE E,43.7322719,-79.2668059,Demolition,2016-10-26,2018-03-28,Demolition of existing building for future station parking lot at Kennedy Station for the Eglinton LRT Line,Restaurant
2575 DANFORTH AVE,43.6881515,-79.30037129,Demolition,2016-11-14,2018-01-12,Proposal to demolish existing vacant recreational centre,Commercial
291 THE WEST MALL,43.6348789,-79.5611141,Demolition,2016-11-23,2018-03-06,Proposal to demolish existing 1-storey structure.,Restaurant
1455 ROYAL YORK RD,43.6874879,-79.5286926,Demolition,2016-12-06,2018-02-14,"Demo existing gas station. *Esso Imperial* All above and below grade tanks removed, with the exception of a used oil tank that may be inside the building.",Service Station
2444 YONGE ST,43.7107432,-79.399423,Demolition,2016-12-16,2018-06-26,Demolish an existing vacant Bank,Bank
38 BONNYVIEW DR,43.63108838,-79.4935494,Demolition,2016-12-20,2018-04-03,demolish existing house,House
2 GLENROSE AVE,43.6888986,-79.3858628,Demolition,2016-12-28,2018-05-15,Proposal to demolish the existing 2 unit detached dwelling.,2 Unit Detached
44 LESMOUNT AVE,43.69163258,-79.34086348,Demolition,2016-12-28,2018-09-04,DEMOLISH EXISTING HOUSE LOT 1,House
48 LESMOUNT AVE,43.69181453,-79.34093705,Demolition,2016-12-28,2018-09-04,DEMOLISH EXISTING HOUSE,House
2359 DANFORTH AVE,43.68697657,-79.30654138,Demolition,2017-01-23,2018-08-28,Proposal to demolish existing 1 storey commercial building and 1 storey sales centre.,Commercial & Sales Centre
42-46 OVERLEA BLVD,43.70684074,-79.34725661,Demolition,2017-02-06,2018-08-24,Demolition of addition and portion of original building while salvaging the front and facing Overlea Blvd.,Commercial
1451 AVENUE RD,43.7205045,-79.41342412,Demolition,2017-04-19,2018-05-16,Demolish ancillary building at Havergal College (Grades JK-12).  ,Private School (Grades Jk-12)
77 MUTUAL ST,43.6560864,-79.37522392,Demolition,2017-05-09,2018-03-02,Demolition of a 22 unit apartment building for redevelopment of the property,Apt
2315 DANFORTH AVE,43.686819,-79.3072136,Demolition,2017-05-11,2018-08-28,Proposal to demolish existing commercial 1 storey building.,Multi Use Commercial
5025 STEELES AVE W,43.76997916,-79.5473103,Demolition,2017-05-19,2018-11-29,Demolish convenience store kiosk beneath but not attached to existing canopy of *Olco* gas station/car wash,Gas Station With Convenience Store
1635 THE QUEENSWAY,43.6155253,-79.54661846,Demolition,2017-05-24,2018-02-12,"Demolition of above ground structure, basement walls and slabs to remain.",Auto Dealership
135 PLUNKETT RD,43.7623431,-79.5703887,Demolition,2017-06-09,2018-06-09,"Proposal to demolish existing elementary school - ""St Gaspar's Catholic Elementary School""",School
54 POWER ST,43.6546148,-79.3630743,Demolition,2017-07-13,2018-07-16,Proposal to demolish existing condo sales office.,Sales Office
125 PARLIAMENT ST,43.65411391,-79.363698,Demolition,2017-07-13,2018-09-21,"Proposal to demolish existing 15 unit apartment building.
(HOLD FOR PLANNING APPROVAL (residential demo for more than 6 units)",Apartment Building
2233 SHEPPARD AVE W,43.7348478,-79.5323204,Demolition,2017-07-13,2018-10-30,"Proposal to demolish 89,506.85sq.m. of existing building. Related to permit number 17157667 BLD 00 BA.",Industrial
2233 SHEPPARD AVE W,43.7348478,-79.5323204,Demolition,2018-05-09,2018-10-30,"Revision - Proposed revision to include scope of concrete slab, footings and foundations to be demolished and crushed on site for re-use.

Proposal to demolish 89,506.85sq.m. of existing building. Related to permit number 17157667 BLD 00 BA.",Industrial
501 KING ST E,43.65460751,-79.35971243,Demolition,2017-07-18,2018-03-23,Proposal for demolition of existing commercial building. East wall of building to remain. ,Office
66 WARREN CRES,43.66309765,-79.50185408,Demolition,2017-07-18,2018-04-17,demolish existing house,House
18 EASTERN AVE,43.653119,-79.360077,Demolition,2017-07-25,2018-04-12,Proposal to demolish existing 3 storey multiple unit building.,Commercial
2 BICKNELL AVE,43.6824368,-79.4741554,Demolition,2017-08-16,2018-02-21,Proposal to demolish existing building,Industrial Building
905 DON MILLS RD,43.728228,-79.34038747,Demolition,2017-09-01,2018-01-22,Proposal to demolish the existing auto repair shop building and storage shed with total area of 266.6 SM to construct a future of 151 unit seniors building in a 10 storey mid rise format.,Auto Repair Shop & Storage Shed
1117 GERRARD ST E,43.66962476,-79.33324907,Demolition,2017-09-13,2018-11-23,"Proposal to demolish the existing 2 storey building - ""Riverdale United Church""
See 15 256718 SA for future development.",Place Of Worship
1624 QUEEN ST E,43.66662589,-79.31595174,Demolition,2017-09-29,2018-01-16,-Proposal to demolish existing 1 storey retail store. See 17-249532 BLD 00 NB.,Retail
1628 QUEEN ST E,43.6666042,-79.3160566,Demolition,2017-09-29,2018-02-06,-Proposal to demolish existing 2 storey building.  Building consist of a restaurant on the ground floor and residential above.See 17-249532 BLD 00 NB.,Mixed Use
1630 QUEEN ST E,43.66685855,-79.31520465,Demolition,2017-09-29,2018-01-16,Proposal to demolish existing 1 storey office building. See 17-249532 BLD 00 NB.,Restaurant
625 BIRCHMOUNT RD,43.7175548,-79.2724587,Demolition,2017-10-04,2018-02-11,Demolition of existing and construction of a new maintenance building,Maintenance Building
200 ST CLAIR AVE W,43.6780981,-79.4419648,Demolition,2017-10-06,2018-08-01,"Proposed demolition of existing 4-storey mulitple unit building( Non-Res.), foundation removal and backfill to grade. ",Muli-Use Building/Non Res
440 DUFFERIN ST,43.6441563,-79.42972593,Demolition,2017-10-24,2018-05-08,Proposal to demolish multiple 1 & 2 storey industrial buildings.  390-444 DUFFERIN ST & 41 ALMA AVE,Multi-Use Industrial
4208 DUNDAS ST W,43.66035745,-79.51153237,Demolition,2017-11-24,2018-02-21,Proposal to demolish existing 'Rona' building and storage building,Retail Store
183 FRONT ST E,43.6504082,-79.3673987,Demolition,2017-11-30,2018-11-08,Proposal to demolish the existing 1 storey Repair Garage for a new Condominium Development.,Repair Garage
197 FRONT ST E,43.650551,-79.366789,Demolition,2017-11-30,2018-11-08,Proposal to demolish the existing 1 storey Retail Store for a new Condominium Development.,Retail Store
223 CHURCH ST,43.65619744,-79.37688255,Demolition,2017-11-30,2018-11-22,Proposal to demolish existing 3-storey hotel. See 17 269693 NB for the new condo (mixed-use) development and 17 194656 STE.,Hotel
225 CHURCH ST,43.65626496,-79.37691036,Demolition,2017-11-30,2018-11-22,Proposal to demolish existing 2-storey mixed use building. See 17 269693 NB for the new condo (mixed-use) development and 17 194656 STE.,Hotel/Restaurant
227 CHURCH ST,43.65633248,-79.37693818,Demolition,2017-11-30,2018-11-22,Proposal to demolish existing 2-storey mixed-use building. See 17 269693 NB for the new condo (mixed-use) development and 17 194656 STE.,Restaurant
229 CHURCH ST,43.6564,-79.376966,Demolition,2017-11-30,2018-11-22,Proposal to demolish existing 2-storey mixed use building. See 17 269693 NB for the new condo (mixed-use) development and 17 194656 STE.,Restaurant
117 DUNDAS ST E,43.65653,-79.376602,Demolition,2017-11-30,2018-11-22,Proposal to demolish existing 3-storey restaurant. See 17 269693 NB for the new condo (mixed-use) development and 17 194656 STE.,Restaurant
203 COLLEGE ST,43.65866957,-79.39555243,Demolition,2017-12-21,2018-07-09,Proposal to demolish existing office building.,Office
689 THE QUEENSWAY,43.6268538,-79.4996561,Demolition,2018-01-08,2018-06-22,Total demolition of the 2 storey commercial building on site.,Strip Club
1177 DANFORTH AVE,43.6812976,-79.3325492,Demolition,2018-01-08,2018-10-16,"Proposal to demolish existing 1 storey building and construct a 9 storey mixed use building with 92 residential units, 2 levels of underground parking, and commercial at grade.",Retail
2799 KINGSTON RD,43.720123,-79.2377091,Demolition,2018-01-16,2018-05-17,Demolition of vacant building for future mixed use condominium,Vacant Repair Garage
795 WARDEN AVE,43.7276481,-79.2873434,Demolition,2018-01-30,2018-04-23,Demolish the existing vacant one storey commercial building (formerly a car rental office),Vacant (Car Rental Office)
