Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
591 DUNDAS ST E,43.6602551,-79.3616475,Demolition,2013-12-23,2015-06-08," Proposal to demolish a series of  high-rise & mid-rise apartment buildings and townhouses in Regent Park (total of 379 dwelling units).  This demo permit includes the following addresses: 1-35 Blevins Place, , 30-52 Blevins Place, 685-699 Dundas St E, 120-128 River St, 42-56 Wyatt Walk, 490-504 Shuter St, 506-520 Shuter St, 80-106 River St, 595-619 Whiteside Place, 33-55 Wyatt Walk, and 108-112 River St.  NOTE: SEE ATTACHED SUMMARY SHEET FOR BREAKDOWN SHOWING # OF RESIDENTIAL UNITS, STY'S, BLOCK #, AND GFA.  Also see Demo permit for North Regent Park (620 Dundas St E 13 281030 )","Residential (Highrise, Midrise, Townhomes)"
763 WOODBINE AVE,43.68064924,-79.31049267,Demolition,2014-01-10,2015-08-05,Proposal to demolish existing multiple unit building and construct 7 storey mixed use residential and retail building. Lots to be in conjunction with 1953 and 1955 Gerrard St E.,Multilpe Unit
138 ST HELEN'S AVE,43.6535869,-79.4422906,Demolition,2014-01-16,2015-09-01,To demolish the existing vacant one-storey industrial building.,Vacant Industrial Building
1230 DUNDAS ST E,43.6652966,-79.3403341,Demolition,2014-02-14,2015-11-24,Proposal to demolish existing 1 storey warehouse/office building.  Convenience address is 1220-1230 Dundas St E.  See also 13 191680 STE for new proposal.,Warehouse/Office
256 CHRISTIE ST,43.6706061,-79.4213431,Demolition,2014-03-03,2015-06-24,Demolition of the residential unit in the existing building resulting from the work to be undertaken under realted permit 14 106530.  ,Mixed Use 
85 KEELER BLVD,43.7930997,-79.204553,Demolition,2014-03-11,2015-04-20,To demolish the existing elementary school.,Elementary School
383 SORAUREN AVE,43.65032445,-79.4445152,Demolition,2014-03-19,2015-07-10,Proposal to demolish existing 1 sty sales centre and storage/warehouse building.,Sales Centre And Storage/Warehouse
97 CRAIGLEE DR,43.70648477,-79.253279,Demolition,2014-05-07,2015-01-13,DEMOLISH EXISTING BUNGALOW,House
3 CUDIA CRES,43.72429251,-79.22453279,Demolition,2014-05-09,2015-05-12,demolish existing bungalow,House
454-464 YONGE ST,43.73875718,-79.40209811,Demolition,2014-05-20,2015-03-05,To demolish the existing two-storey multi-use non residential building.,Multi-Use Non Res
261 MORRISH RD,43.7848251,-79.1704905,Demolition,2014-05-23,2015-05-07,Demolish fire damaged portion of the dwelling (Re-construct fire damaged dwelling for foundations to roof),Townhouse
500 CUMMER AVE,43.79292805,-79.3949618,Demolition,2014-07-04,2015-01-20,Existing elementary school to be demolished. ,Elementary
28 CLYDEBANK BLVD,43.79773097,-79.29630861,Demolition,2014-07-09,2015-01-13,demolish existing house,House
61 HAYDEN ST,43.66996087,-79.38324073,Demolition,2014-07-22,2015-01-05,Proposal to demolish 3 storey office building ,Office
1150 ELLESMERE RD,43.768097,-79.270972,Demolition,2014-07-24,2015-01-28,demolish existing gas bar canopy,Gas Station
928 ROYAL YORK RD,43.64648525,-79.51118046,Demolition,2014-07-25,2015-05-04,Proposal to demolish existing dwelling.,Residential
64 SHUTER ST,43.655069,-79.375719,Demolition,2014-07-28,2015-01-20,Proposal to demolish the existing residential building to construct a new condo (Core Condos),Residential
66 SHUTER ST,43.65508983,-79.37562283,Demolition,2014-07-28,2015-01-20,Proposal to demolish the existing residential building to construct a new condo (Core Condos),Residential
68 SHUTER ST,43.65511067,-79.37552667,Demolition,2014-07-28,2015-01-20,Proposal to demolish the existing residential building to construct a new condo (Core Condos),Residential
70 SHUTER ST,43.6551315,-79.3754305,Demolition,2014-07-28,2015-01-20,Proposal to demolish the existing residential building to construct a new condo (Core Condos),Residential
109 VAUGHAN RD,43.6913205,-79.4384515,Demolition,2014-07-29,2015-10-08,Proposal to demolish existing 3 storey mixed use building with four dwelling units. ,Commercial Building
1624 QUEEN ST W,43.6519376,-79.3814863,Demolition,2014-07-29,2015-11-10,"Proposal to demolish existing 1 storey commercial building.
Proposed parking lot (car park) as per existing site plan review. 12-249433 (Toronto Parking Authority commercial parking facility)",1 Storey Commercial Building
4434 KINGSTON RD,43.769261,-79.1886203,Demolition,2014-08-01,2015-07-30,demolish existing 2 storey motel,Motel
45 TAUNTON RD,43.70723718,-79.38817964,Demolition,2014-08-06,2015-09-17,Proposal to demolish existing two storey dwelling.,Residential
57 HARSHAW AVE,43.65466761,-79.4899807,Demolition,2014-08-14,2015-11-27,Proposal to demolish existing single storey dwelling.,Residential
212 MACPHERSON AVE,43.67775547,-79.39741382,Demolition,2014-08-20,2015-01-23,"Proposal to demolish the existing two storey mixed use building with retail ground floor and residential above
For both 212 and 214 Macpherson, illustrated on plans. Only one demo permit because lots were merged under title, okayed by PA  - TS",Commericial/Residential
3600 FINCH AVE E,43.7990592,-79.3062553,Demolition,2014-08-26,2015-03-24,demolish service station,Service Station
130 QUEENS QUAY   E,43.6445599,-79.3682202,Demolition,2014-09-02,2015-06-08,"Proposal to demolish existing 2 storey mixed use, commercial building; Address includes 130 and 132 Queens Quay E","Mixed Use, Non Res"
2522 KEELE ST,43.7148293,-79.4796402,Demolition,2014-09-03,2015-01-20,To demolish the existing one storey retail strip mall for future re-development  [refer to 12--166387 WET 12 OZ),Retail Strip Mall
97 DORSET RD,43.72302804,-79.23221275,Demolition,2014-10-01,2015-07-07,demolish existing house,House
